identifier_Id,identifier_fips,identifier_apn,identifier_attomId,address_country,address_countrySubd,address_line1,address_line2,address_locality,address_matchCode,address_oneLine,address_postal1,address_postal2,address_postal3,location_accuracy,location_latitude,location_longitude,location_distance,location_geoid,location_geoIdV4_CO,location_geoIdV4_CS,location_geoIdV4_DB,location_geoIdV4_N4,location_geoIdV4_PL,location_geoIdV4_SB,location_geoIdV4_ZI,vintage_lastModified,vintage_pubDate
3534644,56021,13923000600111,3534644,US,WY,4749 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4749 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162614,-104.774517,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534645,56021,13923000600101,3534645,US,WY,4763 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4763 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162965,-104.774515,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534646,56021,13923000600120,3534646,US,WY,4745 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4745 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162444,-104.774519,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534647,56021,13923000600100,3534647,US,WY,4769 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4769 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.163198,-104.774512,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534648,56021,13923000600121,3534648,US,WY,4739 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4739 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162276,-104.774520,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534649,56021,13923000600130,3534649,US,WY,4733 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4733 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.162113,-104.774520,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534650,56021,13923000600091,3534650,US,WY,4777 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4777 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.163414,-104.774511,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534651,56021,13923000600131,3534651,US,WY,4729 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4729 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.161951,-104.774522,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3534652,56021,13923000600090,3534652,US,WY,4783 MORAN AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"4783 MORAN AVE, CHEYENNE, WY 82009",82009,5218,C036,Rooftop,41.163581,-104.774509,0.0,"CO56021, CS5690715, DB5601980, PL5613900, RS0000102494, SB0000130743, SB0000130744, SB0000130750, ZI82009",16856031afb1b236f0d628bb802eac71,29392c8fb7766fb633eb98b90048e74f,30c86a3f2f5c848363c435461b716572,5c0988930d223ac4d02a8c930641c123,802b98230660b6ebebd36a06ec9e541e,"9ef520046d8a93b1b5320e8b9f7dcf2f, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584774,56021,13398000400120,3584774,US,WY,1177 KAYCEE PL,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"1177 KAYCEE PL, CHEYENNE, WY 82009",82009,9404,R002,Rooftop,41.170161,-104.611678,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"cad25fb72421864732153306a6878a40, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
